"Id","ProductId","UserId","ProfileName","HelpfulnessNumerator","HelpfulnessDenominator","Prediction","Time","Summary","Text"
31901,"B0062A87HA","ACVLAI219S7TT","Wendy in Pa",12,12,1,1279670400,"Is someone using Amazon as an outlet for dented cans?","I received Farmers Market Organic Pumpkin 12 pack yesterday. 5 out of 12 cans were pretty badly dented, another 2 not quite so bad. Packaging was not damaged and cans were bubble wrapped inside the box so it wasnt packaging or delivery. These cans were sold and shipped already dented. Don't blame UPS. I will keep and use them they are dated 2013,however this is hardly what I paid for ???? . Someone is obviously taking full advantage of the pumpkin shortage to unload their dented can inventory. Buyer beware!!"
135696,"B003THML30","A1RC6AKHUZKRQS","Amy",0,0,1,1339718400,"Don't buy from here","I was expecting two packs of these like the description said, instead I only got one box.  It was a total rip off."
16179,"B0001BVD04","A2YDEO5BR1OA5R","Pelly",5,5,4,1150329600,"Cheaper in supermarkets","This is a great fruit soda, will surprise you if you are used to artificially flavored junk.<br /><br />BUT... It's much cheaper in supermarkets. Trader Joe's, as noted above, sells it for under $3 in a four-pack.<br /><br />There also exists an all-natural version without the preservative or artificial colors, that is sold in Whole Foods. Side by side it tastes a little better, but is more expensive. I prefer it."
79185,"B002WDCIXK","A336LGWA4H3V4H","Blarney",1,1,2,1326412800,"Way too expensive","Like the product, but come on....  $38.00 for a little creamer in a cup.  The old fashion way works for me just fine."
178788,"B0001WAMA0","A2HTHVCM8MEM3F","Nikijay88 ""Always hoping for happiness &#60;3""",2,2,5,1329350400,"Great Appreciation Gift!","I sent this to my mother as a thank you for all she's done for my family, she LOVED it, especially the basket! Silly I know, but she was so happy and told me she loved me, I'm so glad I could make her happy."
450065,"B001SB6A7C","A2GOR08W4UGJO7","austinwriter",0,1,4,1331510400,"Great Taste, Small Bags","The taste of these chips is incredible. My only problem is that the bags are mostly filled with air. I'd like to see more chips in the bag."
340470,"B002ITIBQG","AKB3TXWM102DR","Rebecca ""red roots""",0,0,5,1319760000,"TRY THESE, THEY'RE DELICIOUS!","You have to treat yourself to these wonderful healthy treats.  They are so crispy and so tasty.  The taste will make you want to eat the whole box."
409742,"B003LPZTTS","A2V8GTSHVKMFI3","Z. ""speedyZ.""",1,1,3,1311811200,"With pros and cons","Pros:<br />1. Clumps well.<br />2. Easy to get: you can find it in the supermarket everywhere.<br /><br />Cons:<br />1. Dusty, when I pour it into the litter box, I cannot breathe nor see anything, just as if I am in desert and there is wind. Turn your head away when pouring it.<br />2. Yucky fragrance. Smell cheap and not healthy for my cat.<br /><br />Price is not pro nor a con for this product, it is pretty much in the middle of the price range.<br />But I won't buy it again except if my cat runs out of litter before my online order arrives, as I said, you can easily find it locally."
302044,"B0048CHI9M","AUUFW7PTUHLT","MamaSylvia",0,0,5,1338163200,"Sugar-free to go!","I always keep one of these in my purse because I never know when I'll be out and about and want to sweeten a drink. I need to avoid sugar because I'm dieting, I don't like saccharin, aspartame gives me headaches, and too many restaurants still don't offer sucralose in their artificial-sweetener-jar. Not to mention I might be at a friend's house! It doesn't get used extremely often - I'm not a perpetually-dining-out social butterfly - but I won't give it up!"
231195,"B003FDC2I2","A2IZEN3G4J0605","Ultraquel",1,1,5,1287964800,"Great!","Orgain is healthier than most drinks, so it says, and is awesomely delicious! I also find it to be quite filling. Highly recommended!"
391725,"B000YQCDQY","A3F34JZEKQBH68","Karen Canellos",0,0,5,1346630400,"good tasting flavor","If you are trying to watch calories, these are good for having a little sweet.  Do not care for the cookies and cream one."
549077,"B000WV153I","A27AB7VV7ETZ74","Danielle O.",3,3,5,1337212800,"Simply the best food I've ever consumed.","I can't stop eating this stuff! The taste is simply melt-in-your-mouth fantastic and satisfying. It's everything in me not to consume the entire jar in one sitting. I can't believe something this tasty has so little sugar, such high (GREAT) saturated fats, and is 100% natural! I HIGHLY recommend you buy this stuff... Yes, it's expensive but it's totally worth it."
448115,"B001FXU6QO","AKGIHE73N0HJW","jennifer",0,0,5,1301875200,"Love this product works amazing!!!","I love this product, first it was supose to get here between the 5 and 20th which made me mad, but it actually got here on the 3rd. So that was awsome!!!! Also some people say that its to thin to paint with, not at all it paints amazing!!  Looks great works great and came fast, in one word...........perfect"
5785,"B003TIVBSU","AUXRFG41XNAI3","P. Souza",0,0,5,1318204800,"Delicious beans!!","I bake quite often and I love to use fresh vanilla beans.  I have purchased beans from a variety of places and these are the best vanilla beans I have ever used, hands-down!!  They were so moist and plump and LOADED with seeds!!  The fragrance and the taste was so amazing!  I used it in a birthday cake and everyone raved about the taste.  I receieved 70 (yes seventy) half-sized beans in my 1/2 pound package...it would have cost me over $220 to purchase that many beans in the store!  I have a food saver so I divided up the package into smaller packages and have them sealed up and stored in a dark pantry.  I will be interested to see how long they keep."
215615,"B0019FM29M","ADGS32I8FDAU0","et ""et in Indiana""",0,8,3,1244073600,"not so yummy","If you are hoping to buy the same product you enjoyed in France this is not the one for you.  The price is OK, I subscribed to get the best price, yet this product compares with any ""butter cookie"" found here. Just ""so so""."
502232,"B000GQ03K0","A2A0JAZSASXJWL","E. tamba ""colonia""",1,2,5,1168300800,"cool stuff","I really like this gum, cool and free sugar and also clean teeth thankss"
355280,"B004KPMWLG","A1Z54EM24Y40LL","c2",1,1,5,1338249600,"Just awesome!","This stuff, when thoroughly chilled, tastes like those mixed teas you get in restaurants!  Oh is it ever marvelous!  I think it took me less than a minute to consume the entire thing one day while grocery shopping.  This 95 degree heat here in Ohio just takes it out of you rather quickly and although my British girlfriend objects, this is just about the best tea I've ever had!  Grab a TON of this - it's really that good! Highly recommend!"
3303,"B005K4Q1VI","A29WENSRNV44RY","selketine",0,0,3,1328832000,"Kids love it - me not so much","I bought this brand of hot chocolate K cups cause it had the best review on Amazon at the time.  The kids love it - they especially like the peppermint flavor which I can't see any other way to get except in this mixed box.  You get milk chocolate, dark chocolate and peppermint flavors.  I tried it a few times and it is too weak for my taste.  I make it on the lowest setting on my Keurig which I think is around 7 ounces and it is still weak to me but perfect for them.  If you like a strong chocolate flavor this isn't it."
57856,"B000EVOSE4","A13P3HLPHS2PGJ","saltpeanuts",5,14,1,1161820800,"Tasty Rubber","I expected something softer in texture, but these are like chewing on rubber with flavor.  Much too hard for my 3 y/old child.  If you're looking for something tasty & softer in texture, try Kasugai Gummy Candies."
237704,"B002L99DTC","A1I9SEYBPTWFTZ","LARRY STANIFER",0,0,2,1350691200,"Lemon Drops leave sour taste","Not the same drops from Flathau that I remember. The ones I was expecting had powdered sugar. I was disappointed."
214813,"B001BBXP7M","AH0SAAFAGK5C5","Road Warrior ""Road Warrior""",3,5,5,1183939200,"Road Warrior-L.A.","I have been using this powder mix for the last 6 months. I mix it in a water bottle at the airport for a healthy energy boost and drink it during the morning instead of having a snack."
335679,"B000VTFIWK","A28S6CWIEP76BQ","Laura",1,1,5,1313971200,"Great kitten food!","This dry food is great!  My kitten (5 mos. old) has been eating it since I brought her home when she was just 8 weeks old.  I bought it because it is a good quality food that I feel safe feeding to my little one.  She eats this along with Wellness wet food.  Her coat is beautiful and she's had no health problems.  She is not overweight so I think this is a good food to control weight if your cat is self-fed.  It is of course pricier than other brands but I am willing to pay that to know that my kitten is eating healthy, high-quality food."
284412,"B003Z33WGI","A2GE7OOGW6LMYK","Bill Barkoczy",0,0,2,1289088000,"Cashews","These dry roasted cashews were noy dry roasted enough! They almost seemed like regular ones. Won't buy these again."
285673,"B000KNDF7M","A17MURLSVTLNKN","M. Bhatia",0,4,5,1238630400,"On time and as described!!","I was very happy with my order.  It arrived on time and as described.  Thank you!!"
393481,"B0002ASM94","A1I327C0APIQBG","Ginger23",1,1,5,1322438400,"durable","These bones are awesome- my dog hasn't managed to chew his way through any of them yet and it's been a couple of months.  For reference my dog is a 22 lb spaniel and an avid chewer."
491468,"B002FVUMU0","AGKC7QBBFRD5O","Lord Marshal the 1st",1,1,5,1299888000,"Good quality, lightning shipping","Was wary about buying from this vendor with no feedback.  Shipping was on time even though there's no tracking capability.  The cheeses were very well wrapped and protected from damage.  The quality was superb.  Will definitely purchase again."
382883,"B002T0IHPO","A1TSJR1YF6ORC0","V. R. Heck",2,3,5,1311552000,"Just Amazing!","It's so much fun to make my own soda with as much fizz and syrup I prefer!  Hope it might bring others as much joy."
558578,"B000EMNKXS","A4EYDXJMLGZ2Q","Ydtrack",0,0,5,1321142400,"Ships better than the liquid coffee creamers","I have ordered the liquid coffee creamers in the past, and they always leak during shipment. The powdered coffee cream arrived perfectly and tastes good, this is my 2nd favorite next to the vanilla caramel."
182397,"B008RWUKXK","AEC90GPFKLAAW","Lisa Kearns",0,0,4,1320883200,"Healthy and tastes great, but the clusters were crushed","I received my bag of Kind Healthy Grains clusters free from the Amazon Vine program, in exchange for writing a review.<br /><br />We eat cereal for breakfast a couple of times per week, and I'm always looking for one the kids like that isn't half sugar and artificial colors. I was really impressed with the ingredients in this product -  Non-GMO flax seeds, amaranth, quinoa, oats, millet and buckwheat.  No artificial ingredients, preservatives or coloring, and it's sweetened with evaporated cane juice and molasses, and not the dreaded HFCS.  It's high in anti-oxidants, Omega-3s, and fiber, and is low in salt and fat. It has a very nice cinnamon flavor, too!<br /><br />Overall it's a very good choice for snacking or as cereal.  They need to put it in a box or some other container because my bag arrived with all the clusters broken into small pieces.  There was no way to eat this except as cereal with milk, or sprinkled on food (we had some on yogurt).  It tastes really good, with complex flavors from the various grains.  The kids like it, too."
174198,"B000LL0RKG","A2BO3RX7DEKPBS","Ms. Cascadia ""Lis""",24,27,1,1260144000,"Boycott Silk! Irresponsible and shady business practices!","I used to be a loyal Silk drinker back when it was actually organic and supported domestic farmers. Since then, the agribusiness giant Dean Foods (which owns over 50 milk labels in the country) bought Silk and began using conventional Chinese soybeans and quietly switching flavors of Silk from ""organic"" to ""natural"" without changing UPC codes or telling retailers, according to the Organic Consumers Association.<br /><br />The Silk portion of the Dean Foods website pays tremendous lip service to socially and environmentally responsible business practices--Dean Foods CLAIMS to use organic domestic soybeans, BUT REFUSES TO DISCLOSE ITS BUSINESS PRACTICES OR TRANSPARENTLY PARTICIPATE IN SOYBEAN SOURCING STUDIES. It throws around the word ""sustainable"" without giving any proof or transparency to validate claims of sustainability.<br /><br />If you care in the slightest about supporting businesses that are honest, transparent, and environmentally responsible, DO NOT BUY SILK PRODUCTS.<br /><br />check out: [...]"
519796,"B0017128WO","A1FWJPC1B5PKII","gman",0,0,5,1324944000,"great steak","these steaks are not as good as the private reserve but for the price they are above average. thank you omaha steaks for a great meal."
348677,"B000E46GFK","A1KU110KO2ILWG","H. Rao",0,0,4,1288569600,"Good oatmeal with unique flavors","Ever since I was about 8 years old, I've been eating oatmeal for breakfast, so I've tried many different varieties and flavors.  Nature's Path is a good oatmeal.  It has unique flavors like flax and raisin spice and it cooks well in the microwave.  The oats are pretty finely chopped so it becomes almost like porridge when cooked.  Although the taste isn't great (tastes a bit too sweet to me), it's good."
29862,"B0045CTYNI","A1X2A8LAZLOUO0","Kathy",0,0,1,1347062400,"bag was greasy","It was a real pain to throw out the whole bag.....but it was too disgusting to open.... beware. I am a huge fan of Kirkland products-but this was not worth opening to try.  My local Costco doesn't sell this."
476533,"B000LKVRVA","AII0QS41X4LJV","Sophia J",0,0,3,1290816000,"product was moldy, but company willing to fix problem","I think the jerky would have been good, but...<br />The packages I received contained jerky that had fuzzy white stuff growing on it. None of the packages had a read-able expiration date. The clearest packaging shows Aug 2011 (which means the product still had 6 months left in its life). When I contacted Lumen, however, I did get an email and phone call from them expressing their concern about my complaint. The man I spoke with was genuinely interested in investigating the problem. The company directly sent me three free packages to replace some of the moldy ones."
441098,"B005VOONM6","A1Z7Y2GMAP9SRY","M. Thompson ""Dyson Diva""",1,6,1,1332201600,"Weak brew","No instructions on packaging that I could find. So first I put a pod into K cup machine. This is NOT for K cup machines. No taste. I do brew tea bags in same machine with great results.<br /><br />Then I put a pod in a cup and covered it with hot water and let steep quite a while.  Weak. Not my cup of coffee."
462001,"B000CSRBXY","A21LBRGQDS3U8A","Paul Morgan ""Morganducks""",1,4,1,1254268800,"Not ""simply"" salted","This popcorn also has TONS of oil in it. Pops up light and tasty. Just like I might want in a theater. Unfortunately, I was looking for something that wasn't all that bad for me as a snack, and this just ain't it. Bring lots of napkins because there is a lot of oil in the mixture. It's almost too rich to eat."
332585,"B003GS5FMQ","A2FNQNWFC2H0SK","DickoftheNW",0,0,5,1350950400,"Sahales Snacks","The product from Sahales was great.  We have ordered it several times and will order it again.  It is one of the best snack foods because of the ingredients."
231547,"B0032Y4Z0W","A15UXFXH7CSU9Y","Nina Escover",1,1,4,1332115200,"Realized its Small","well it's a fave thing for my bf.. but i guess its a lil too small for a big KID like him..<br />ITS A GOOD BUY THOUGH!"
546108,"B003YSV5ZY","A22UFACVJD3B2A","alaska98",0,0,4,1307232000,"Tasty","These aren't the healthiest things a person could eat, but they are better for you than a lot of the breakfast bars available. My 2 year old loves them, so we have them on subscribe and save. She asks for these whenever she wants a snack."
300273,"B000LKZK1S","A2M3DMFKRDYX3U","Gen3SF",5,5,5,1272240000,"Excellent flavorful tea","This is a delicious tea that is not easily found in stores, even in upscale gourmet food item stores. The strawberry flavor come through clearly in clean and fresh notes and tastes fresh and natural.  The tea bags are foil-sealed and so the tea maintains its fresh taste.  I like that the manufacturer has opted not to use a metal staple so there are no metallic tastes to interfere with the tea and strawberry flavors.  Everyone to whom I have served this tea has raved over the taste.  I waited some time for Amazon to re-stock this item and have now taken to providing a box as an occasional gift.  This is one of the teas I always want to have available in my home."
456697,"B00068K7UE","A1N3OF1XCY27AK","Goossens Els",0,1,5,1252886400,"We order them from oversees since our cat only loves Pitr' Pats","We have a very difficult cat when it comes to eating and treats.<br /><br />We bought the pink boxes of Pitr' Pats in a pet store in Belgium. Of all the treats we bought, he only liked those. Then one day the pet store stopped selling them :-s<br /><br />We seeked the internet to find them, so now we order them from oversees. Yup, we pay only about $3 for the treats and $20 for the transport, but seeing how much he adores them makes it worth the money."
472543,"B005VOOL00","A1N655X9X7C6QY","C. Cook ""LIVE..........LOVE........AND..........",0,1,4,1334188800,"Nice  mellow and Milder Jamaican Coffee","This Marley Coffee is so "" No Worry Mon "" !!!---style...mellow and somewhat milder flavor and brew.<br /><br />I really like this as I drink multiple cups of coffee a day and find this style to be less "" wire-ing"" to my system.( lower caffine)<br /><br />Nice nutty smell in the cup and medium brown to the eye.<br /><br />This is not my first Jamaican coffee and IN GENERAL enjoy the Jamaican Coffee Bean---and of course one must take in some of the hype surrounding a coffee being called ""Marley"" and all that....AND if you-- like me -- enjoy trying different coffees of the world and don't want to be wired all the time by one of those expressos or other strong , thick , dark  and heavy coffees--then this would be one for you to try.<br /><br />I DO drink my coffee BLACK no cream and no sugar----so if you do as well--than here is another  PERFECT reason to LOVE this one.It does not need the cover up of the others with the milk and the sugars  in your cup!<br /><br />Hope you return and post your experience with this lovely and mild---- MARLEY COFFEE !"
160446,"B001EPPBOU","A1NMW8X9AKYYIQ","kunigunda",1,1,4,1217894400,"Verrrry Garlicky","I didn't expect these to be quite as strong as they are, nor the bottles to be as large as they are!  This is not something I will buy in large quantities again.  A little goes a long way. What to do with all this garlic! The only fried garlic I've had is when I've cooked it myself and mine has never tasted as strong as this stuff. It's very crunchy too. I'm using it sprinkled it on salads, potatoes, and spaghetti. I'm not sure what else to do with it. Contents: garlic and corn oil; a product of Vietnam.  Wish I knew the different ways the Vietnamese use it."
18284,"B000SATIGO","A1L2Z1O7KG13NP","C. Townsend",0,0,5,1350000000,"Tasty. Not 'bland', but not as strong as other Assam teas.","This Assam tea is delicious, and a good deal, especially for organic and fair trade. I will say that I expected it to have a bolder flavor, which I am used to with other Assam teas I have tried. It has the same flavor characteristics of other Assam teas - it just doesn't brew dark and strong even with a lot of leaves in the infuser. That said, I am enjoying this somewhat more delicate Assam tea a lot, and the price was right. The listing promises ""fair trade certified"" and ""certified organic"", but the label on the bag doesn't have any fair trade certification. Hopefully the advertising is correct."
350193,"B0083OP960","A1PKOFP1SZM18K","Gordon C. Gore ""Jenningsfan""",0,0,5,1346284800,"Fun plants to have","This reviews covers 4 different carnivourous plants - butterworts, sundews, flytraps and pitcher plants.  All arrived quickly, were is excellent shape and the transplanting instructions were very clear.  I also found contacting the owner directly via their website got quick and helpful response.  Will definitely buy from again and recommend them to others interested in these types of plants."
75304,"B0009X2A60","A1W5K7M86S21OY","Saxman",0,0,5,1321920000,"Best Cat Food for Quality & Value","Chicken Soup for the Cat Lover's Soul is the best you can get--considering the price.  My cats (5) love it and are very healthy since I've started feeding them this food. Try it--they will love it!"
250293,"B002YVF4TU","A187VKK7VWKQ99","Food Snob",2,9,1,1317945600,"Smells and Taste like Fish","The picture is NOT the color of the salt. It smells and taste like fish.  It also has tiny rocks in it that will hurt or even chip your teeth. I only ordered it because of super saving shipping. NEVER AGAIN, I will stick with Premiere Pink Salt from Quantum Nutrition Labs WAY better."
400115,"B002IEVJRY","AOAOARIH72UWI","jt",1,2,5,1338336000,"Real Coffee Drinkers Drink","My new favorite iced coffee drink from the grocery store.  Distinctly different from the popular Starbucks cold drinks from the grocery store.  The illy drink is a lot less sweet than all others I have tried.  Has a much more distinct coffee taste which I really liked.  The milk/cream part of it was also muted again allowing the coffee taste to come out.  This tasted much more like an iced coffee drink that would be appreciated by those that actually really like the taste of coffee and not the sweet dairy flavor of many of the popular drinks in the grocery store."
16682,"B001LGGH40","A2OMQEK9OW2FY6","Brad B",0,0,3,1238025600,"Overly sweet and tastes like poprocks.","I love the idea of carbonated juice - I really do. I love carbonation. I love juice. Put them together and you should have a sweeter version of what you can make with club soda and juice. So one star earned for the idea. One star for the convenience of me not having to mix my own club soda with juice and one star for convenience that it is in a can. As for taste - I didn't like it much at all. It was just too sweet. I like soda, but this was just over the top. This particular version my wife and I both agreed that it tasted really close to strawberry poprocks, which in and of itself is a good thing. I just didn't care for it as a carbonated fruit juice.  I'm going to give this a partial fail. It wasn't bad, but I wouldn't buy it again."
116301,"B002YJ0118","A1DWIQ5U9UBAB6","Leo's Folks",0,0,5,1340496000,"Ballpark Popcorn in my Kitchen! Woo-hoo!","I enjoyed the popcorn at our minor league ballpark so much that I was craving it even when we weren't heading to the games! Then we moved, and I admit I panicked a little bit - great addictive popcorn is 'few and far between'. I sent email to the ballpark, and the concessions manager gave me all the information about the brand of popcorn they were using. It was very exciting to find out I could order the same all-n-one packs from Amazon!<br />I have been thrilled with the 2.5-ounce size... it's the perfect size for a popcorn loving snacker. More than one snacker? Open 2 or 3 packs! Easy to make on the stovetop or microwave. I'm back to order more!!"
107563,"B007TJGY4Q","ALQOBPDEIGKPJ","Kitty",2,2,4,1244592000,"Excellent for bold coffee lovers!","I love dark, strong coffee and this is one of my favorite K-cups. I use the mug setting (9.25 oz?) on my B66 and it's perfect. This coffee has a slight bite to it, but in a good way!"
148329,"B001A3EDFE","A19XMHRB3G4DIR","javajunki ""javajunki""",3,3,5,1271894400,"Very pleased! Great price - great flavor!","This is a large 28 oz jar but the price is really right so I decided to give it a try even though there were not other reviews available. Cardamon has a very distict flavor with a hint of citrus and roughly the size of a peppercorn. This is decorticated for ease of use. Fragrance and flavor are both very pleasant. While I'm sure you could probably spend a lot more - this is an acceptable quality for an exceptional price."
330614,"B001U653S2","A1EW80KBG616RI","Kristene L. Walker",0,0,5,1282953600,"My sister said it was good","My sister was put on a gluten free diet so she sent me 50lb of her oatmeal I order her this oatmeal she loved it"
178493,"B000GZSB6E","A3IAKUMPA8FB04","Laurie Jean",0,0,5,1296777600,"Fabulous Product!","Have been using Solo Almond filling for my holiday Amaretto Cake for a few years now. I must say that my cake is ""almost famous"" and my gift list has grown to 30 cakes over the years. I was quite upset when I could no longer find this at any market in my area! So happy to find it on Amazon, and it was even a bit cheaper than the market prices! Use the Almond cake recipe on the label and add an Amaretto glaze....... you won't be sorry!"
42136,"B001ELL364","A3QMY52CVD2Q2D","Helch",10,12,1,1210032000,"Expired packages","Of the 4 packages that I received in my April order 2 were expired in January.  The other 2 expired the following month.  I have gotten Spelt flour from Arrowhead mills before and it was great...totally fine.  But I think with something like millet flour, that maybe not as many people use, they must just package up what they have left on the shelf.  Now I know that even though it is a little more expensive at my local health food store, it is worth it because it isn't old and expired!  YUCK!"
444539,"B001HTISGQ","A25CAXYF2CP6CJ","Susan E. Dress",3,3,5,1290816000,"A lunch saver for the gluten intolerant","Some days I just get tired of having to come up with another gluten free meal to pack for lunch; or I've gotten home too late to start a pot of rice for supper. That's the time to grab an Annie Chun Rice Express and pop it in the microwave. In 2 minutes I have a delicious bowl of rice. Add a bit of cheese and an apple and I'm ready to take on the rest of the day. It amazes me that something that can sit in a spare drawer at work can be so easy to prepare and taste so good."
279075,"B001BLXRPC","A14TWVGTN8AHNW","R. Duyckinck ""Panda""",1,1,5,1236470400,"Garden of Good Eating soy corn chips","I love these chips.  Nice alternative to the regular.  Small size, but sturdy enough for the thickest bean dip. Travel well with minimal breakage in bag."
311895,"B000LRIKUE","A1Q0LUD7NQ1G8W","Alisha",0,0,5,1330300800,"Just as good as the other brands!","I was hesitant to try these because I have never had this brand. In the end, I decided it was worth a try as these little boxes cost almost $2 each around here. I must say that these pretty much tastes the same as the more popular brands. I used them in everything from rice to soup and they were good. As a matter of fact, we used the whole box in about a month. I will definitely buy these on a regular basis!"
426344,"B003BJOORW","ATRNPNV3V7VXU","Diamond ""Diamond""",0,0,5,1341705600,"Saved my Cat","This product was recommended by my vet, and literally saved my cat's life. I was very worried and was willing to try any diet on the market. Really, I have tried many diets etc but nothing seemed to help out my cat after the sudden onset of irritable bowel syndrome (IBS).  I have no idea of where that came from. I always gave him clean water; fresh food etc but this caught me off guard. I have been feeding him ""Friskies"" prior to Hill's and everything was fine until one weekend. After a couple of days of feeding him, I noticed an immediate difference. My cat was no longer passing soft stools (diarrhea), and was eating as he normally did. The diet also seems to have been helping him regulate his weight also. He was a very big guy (~20 lbs) but now he is down to 16, after about 4 months on Hill's. Thumbs up and 5 stars for this product!"
